,id_estacao,data_fundacao,latitude,longitude,municipio
243,A304,2003-02-24,-5.83722221,-35.20805555,2408102
244,A316,2007-01-07,-6.46749999,-37.08499999,2402006
245,A317,2007-01-06,-5.15111111,-36.57305554,2407203
246,A318,2007-05-22,-4.90416666,-37.36694443,2411056
247,A340,2007-11-14,-5.62666666,-37.815,2401008
248,A344,2008-05-08,-5.16,-35.48749999,2414407
249,A367,2010-08-17,-6.22805554,-36.02666666,2411205
250,A372,2017-11-08,-5.53499999,-36.87222221,2404705
251,A409,2003-02-12,-10.9525,-37.05444444,2800308
252,A417,2007-05-23,-11.2725,-37.795,2803005
253,A419,2008-04-03,-10.73805555,-38.10833333,2805505
254,A420,2008-03-28,-10.39972221,-37.74749999,2801405
255,A421,2008-07-17,-10.47388888,-36.48194443,2800704
256,A451,2017-04-24,-10.67166666,-37.47138888,2802908
257,A453,2017-03-24,-10.20777777,-37.43194443,2804508
258,A102,2008-08-05,-9.35833333,-69.92638888,1200344
259,A104,2008-07-11,-9.95777777,-68.16527777,1200401
260,A108,2015-05-14,-7.61083333,-72.68138888,1200203
261,A136,2009-10-29,-8.26722221,-72.74777777,1200393
262,A137,2009-10-27,-8.95,-72.78666666,1200351
263,A138,2009-09-24,-8.142654,-70.343594,1200302
264,A140,2009-09-25,-11.02388888,-68.73527777,1200252
265,A101,2000-05-09,-3.10361111,-60.01555555,1302603
266,A109,2012-08-31,-6.65027777,-69.8686111,1301407
267,A110,2008-07-15,-8.77666666,-67.33249999,1300706
268,A111,2008-07-27,-7.26055555,-64.7886111,1302405
269,A112,2008-04-25,-7.5525,-63.07138888,1301704
270,A113,2008-07-19,-7.20555555,-59.8886111,1300144
271,A117,2008-04-12,-4.09749999,-63.14527777,1301209
272,A119,2008-04-10,-3.29472221,-60.62833332,1302504
273,A120,2008-04-17,-3.58333333,-59.12944443,1300300
274,A121,2008-04-17,-3.13333333,-58.48277777,1301902
275,A122,2008-04-22,-3.39888888,-57.67388888,1302900
276,A123,2008-04-11,-2.63916666,-56.75611111,1303403
277,A124,2008-04-17,-2.53472221,-57.75805555,1304302
278,A125,2008-06-26,-2.6336111,-59.60055555,1303569
279,A126,2008-04-19,-2.05666666,-60.02583332,1303536
280,A128,2008-04-19,-0.98722221,-62.92416666,1300409
281,A133,2011-12-12,-5.7886111,-61.28833333,1302702
282,A134,2011-08-31,-0.125207,-67.061246,1303809
283,A144,2019-07-18,-8.0911111,-60.38055554,1300144
284,A242,2008-09-11,3.81361111,-51.8625,1600501
285,A244,2008-09-17,0.69416666,-51.40388888,1600535
286,A249,2013-12-12,0.03499999,-51.08888888,1600303
287,A251,2017-08-24,0.56777777,-50.8236111,1600253
288,A201,2003-01-20,-1.411228,-48.439512,1501402
289,A202,2003-01-24,-1.30083333,-47.94805555,1502400
290,A209,2008-02-17,-3.51083333,-52.96333333,1504455
291,A210,2008-02-27,-3.8436111,-50.63805555,1505486
292,A211,2008-02-14,-3.86416666,-54.21638888,1505650
293,A212,2007-10-18,-2.99027777,-47.40777777,1505502
294,A213,2007-10-14,-2.59249999,-48.36055555,1508001
295,A214,2008-04-17,-4.82749999,-48.1736111,1506187
296,A215,2008-06-14,-0.61888888,-47.35666666,1506203
297,A216,2016-11-15,-6.639622,-51.956966,1507300
298,A226,2008-03-11,-1.04722221,-46.78583333,1501709
