,id_municipio,latitude,longitude,uf,regiao
415,3115474,-15.3616,-42.9627,MG,Sudeste
416,3115508,-21.9753,-44.9319,MG,Sudeste
417,3115607,-19.1458,-45.712,MG,Sudeste
418,3115706,-18.7612,-41.3143,MG,Sudeste
419,3115805,-18.5852,-49.2014,MG,Sudeste
420,3115904,-21.6733,-43.215,MG,Sudeste
421,3116001,-20.0453,-41.6897,MG,Sudeste
422,3116100,-17.0881,-42.5392,MG,Sudeste
423,3116159,-15.3014,-45.6116,MG,Sudeste
424,3116209,-21.9996,-43.0617,MG,Sudeste
425,3116308,-20.9026,-43.3629,MG,Sudeste
426,3116407,-20.397,-47.2768,MG,Sudeste
427,3116506,-17.082,-44.2061,MG,Sudeste
428,3116605,-20.4437,-44.7673,MG,Sudeste
429,3116704,-20.8535,-42.8008,MG,Sudeste
430,3116803,-18.2311,-42.8352,MG,Sudeste
431,3116902,-19.6973,-49.0789,MG,Sudeste
432,3117009,-16.2963,-41.7945,MG,Sudeste
433,3117108,-21.096,-46.2049,MG,Sudeste
434,3115201,-21.1316,-44.4729,MG,Sudeste
435,3117306,-19.9172,-48.3839,MG,Sudeste
436,3117207,-22.1576,-45.4562,MG,Sudeste
437,3117405,-19.9326,-41.6908,MG,Sudeste
438,3117504,-19.0344,-43.4221,MG,Sudeste
439,3117603,-19.7456,-44.8945,MG,Sudeste
440,3117702,-21.8778,-45.087,MG,Sudeste
441,3117801,-22.4078,-45.7996,MG,Sudeste
442,3117836,-15.2892,-44.4181,MG,Sudeste
443,3117876,-19.6282,-43.9931,MG,Sudeste
444,3117900,-22.1488,-46.043,MG,Sudeste
445,3118007,-20.4958,-43.851,MG,Sudeste
446,3118106,-18.8021,-43.6767,MG,Sudeste
447,3118205,-19.9312,-47.5492,MG,Sudeste
448,3118304,-20.6634,-43.7846,MG,Sudeste
449,3118403,-19.1789,-41.4736,MG,Sudeste
450,3118502,-22.5493,-45.9255,MG,Sudeste
451,3118601,-19.9321,-44.0539,MG,Sudeste
452,3118700,-21.1858,-45.4366,MG,Sudeste
453,3118809,-16.6841,-44.3635,MG,Sudeste
454,3118908,-19.1224,-44.3224,MG,Sudeste
455,3119005,-21.7891,-45.6999,MG,Sudeste
456,3119104,-18.369,-44.4542,MG,Sudeste
457,3119203,-18.6156,-42.2791,MG,Sudeste
