,id_municipio,razao_dependencia,taxa_envelhecimento,expectativa_anos_estudo,taxa_analfabetismo_18_mais,indice_gini,prop_pobreza_extrema,renda_pc,taxa_desocupacao_18_mais,taxa_ocupados_carteira,taxa_agua_encanada,populacao,populacao_urbana,populacao_rural,idhm
2754,4204301,39.69,8.16,10.46,4.41,0.46,0.9,1009.49,2.27,54.44,95.97,68621,54865,13756,0.8
2755,4204509,42.7,8.4,10.29,3.27,0.46,0.17,951.63,2.01,57.7,91.85,13852,10669,3183,0.78
2756,4204756,38.89,8.71,11.4,4.28,0.46,0.12,1009.05,0.26,20.37,93.28,1882,569,1313,0.754
2757,4205100,47.8,8.71,10.66,4.35,0.46,0.97,918.49,0.78,38.06,92.84,3721,1868,1853,0.742
2758,4205456,40.06,4.58,10.13,4.12,0.46,0.12,870.85,3.76,62.72,96.87,22548,18426,4122,0.753
2759,4206751,40.29,8.69,10.25,6.62,0.46,1.9,786.22,0.94,27.97,94.72,1945,695,1250,0.725
2760,4210308,48.1,7.49,9.66,6.43,0.46,7.17,465.76,1.28,21.64,95.84,7479,2961,4518,0.69
2761,4212106,42.3,10.22,11.39,7.35,0.46,1.59,887.5,2.11,30.84,94.99,16020,9871,6149,0.737
2762,4215695,44.62,9.22,10.91,12.22,0.46,5.01,756.0,0.82,18.19,97.22,1465,650,815,0.728
2763,4216008,38.31,8.4,10.69,4.96,0.46,0.5,924.02,1.94,37.63,93.09,10291,6902,3389,0.769
2764,4216800,51.3,10.59,9.12,13.76,0.46,10.87,375.44,1.84,16.01,68.53,9273,2492,6781,0.636
2765,4216909,43.63,7.92,9.79,7.14,0.46,1.62,841.27,1.64,48.59,94.35,21792,16880,4912,0.749
2766,4217907,44.03,9.42,11.19,6.95,0.46,0.6,840.87,2.53,47.39,89.86,8674,4984,3690,0.737
2767,4301107,47.0,9.82,10.06,7.47,0.46,1.2,623.54,7.35,48.13,98.76,13606,12956,650,0.698
2768,4303806,43.76,13.11,10.48,4.93,0.46,1.08,869.1,3.21,28.19,97.66,5506,4217,1289,0.76
2769,4304101,45.86,10.85,11.07,9.92,0.46,3.62,637.46,4.06,19.25,62.6,3494,2006,1488,0.708
2770,4304200,46.14,10.91,9.93,10.03,0.46,4.91,620.92,2.16,27.12,89.19,30171,15715,14456,0.674
2771,4305116,43.81,13.86,11.01,4.32,0.46,5.2,651.77,0.97,11.35,93.8,2965,949,2016,0.701
2772,4305306,40.48,12.38,9.6,4.48,0.46,1.34,860.15,1.7,29.05,97.96,9377,5573,3804,0.757
2773,4305447,47.49,7.79,10.59,10.24,0.46,6.14,471.66,0.47,3.44,82.93,4944,273,4671,0.616
2774,4306700,45.34,12.58,8.87,7.68,0.46,1.6,698.57,2.35,18.38,76.86,3401,2146,1255,0.697
2775,4306767,46.14,6.08,9.46,4.44,0.46,2.29,692.0,5.83,52.28,97.51,34343,30800,3543,0.717
2776,4307559,42.64,11.15,8.42,3.58,0.46,0.96,862.69,4.38,46.62,91.99,6011,5119,892,0.753
2777,4311403,36.24,7.56,10.19,2.8,0.46,0.38,1130.85,3.1,64.14,90.43,71445,71180,265,0.778
2778,4311734,44.38,8.29,10.68,10.89,0.46,1.34,456.27,1.58,6.22,86.28,3003,568,2435,0.649
2779,4311981,45.2,12.53,11.67,7.93,0.46,3.09,628.63,1.96,13.38,77.97,3768,638,3130,0.701
