,id_municipio,ano,populacao
554,1301159,2010,23930
555,1301159,2014,27357
556,1301159,2018,29595
557,1301159,2022,31459
558,1301209,2002,73075
559,1301209,2006,87468
560,1301209,2010,75965
561,1301209,2014,82209
562,1301209,2018,84272
563,1301209,2022,86713
564,1301308,2002,18358
565,1301308,2006,20407
566,1301308,2010,23206
567,1301308,2014,26242
568,1301308,2018,28100
569,1301308,2022,29691
570,1301407,2002,27274
571,1301407,2006,30125
572,1301407,2010,30665
573,1301407,2014,33580
574,1301407,2018,34840
575,1301407,2022,36121
576,1301506,2002,19633
577,1301506,2006,13746
578,1301506,2010,16338
579,1301506,2014,18422
580,1301506,2018,19668
581,1301506,2022,20748
582,1301605,2002,34679
583,1301605,2006,39144
584,1301605,2010,22817
585,1301605,2014,21295
586,1301605,2018,18221
587,1301605,2022,16409
588,1301654,2002,13583
589,1301654,2006,12228
590,1301654,2010,13974
591,1301654,2014,15561
592,1301654,2018,16416
593,1301654,2022,17193
594,1301704,2002,31534
595,1301704,2006,28498
596,1301704,2010,44227
597,1301704,2014,50230
598,1301704,2018,54001
599,1301704,2022,57195
600,1301803,2002,15833
601,1301803,2006,17806
602,1301803,2010,22254
603,1301803,2014,26118
604,1301803,2018,28933
605,1301803,2022,31172
606,1301852,2002,35128
607,1301852,2006,42812
608,1301852,2010,40781
609,1301852,2014,45250
610,1301852,2018,47571
611,1301852,2022,49718
612,1301902,2002,74914
613,1301902,2006,81674
614,1301902,2010,86839
615,1301902,2014,95714
616,1301902,2018,99955
617,1301902,2022,104046
618,1301951,2002,8263
619,1301951,2006,7919
620,1301951,2010,8038
621,1301951,2014,8205
622,1301951,2018,7888
623,1301951,2022,7777
624,1302009,2002,7766
625,1302009,2006,8866
626,1302009,2010,8211
627,1302009,2014,8864
628,1302009,2018,9064
629,1302009,2022,9312
630,1302108,2002,10181
631,1302108,2006,13096
632,1302108,2010,7326
633,1302108,2014,5599
634,1302108,2018,3265
635,1302108,2022,1755
636,1302207,2002,6908
637,1302207,2006,7687
638,1302207,2010,10802
639,1302207,2014,12807
640,1302207,2018,14312
641,1302207,2022,15495
642,1302306,2002,24101
643,1302306,2006,27955
644,1302306,2010,17992
645,1302306,2014,16977
646,1302306,2018,14753
647,1302306,2022,13462
648,1302405,2002,28094
649,1302405,2006,26020
650,1302405,2010,37701
651,1302405,2014,42439
652,1302405,2018,45245
653,1302405,2022,47685
654,1302504,2002,77171
655,1302504,2006,84656
656,1302504,2010,85141
657,1302504,2014,92996
658,1302504,2018,96236
659,1302504,2022,99613
660,1302553,2002,13130
661,1302553,2006,14140
662,1302553,2010,22801
663,1302553,2014,27480
664,1302553,2018,31147
665,1302553,2022,33981
666,1302603,2002,1488805
667,1302603,2006,1688524
668,1302603,2010,1802014
669,1302603,2014,2020301
670,1302603,2018,2145444
671,1302603,2022,2255903
672,1302702,2002,38076
673,1302702,2006,38168
674,1302702,2010,47017
675,1302702,2014,52200
676,1302702,2018,54907
677,1302702,2022,57405
678,1302801,2002,18182
679,1302801,2006,20836
680,1302801,2010,17528
681,1302801,2014,18367
682,1302801,2018,18186
683,1302801,2022,18298
684,1302900,2002,42043
685,1302900,2006,46873
686,1302900,2010,52236
687,1302900,2014,58834
688,1302900,2018,62755
689,1302900,2022,66159
690,1303007,2002,15798
691,1303007,2006,16864
692,1303007,2010,18278
693,1303007,2014,20078
694,1303007,2018,20899
695,1303007,2022,21710
696,1303106,2002,25992
697,1303106,2006,31450
698,1303106,2010,30696
699,1303106,2014,34498
700,1303106,2018,36721
701,1303106,2022,38665
702,1303205,2002,8731
703,1303205,2006,6516
704,1303205,2010,14723
705,1303205,2014,17199
706,1303205,2018,18974
707,1303205,2022,20395
708,1303304,2002,18273
709,1303304,2006,21051
710,1303304,2010,21451
711,1303304,2014,23905
712,1303304,2018,25237
713,1303304,2022,26443
714,1303403,2002,96750
715,1303403,2006,112636
716,1303403,2010,102033
717,1303403,2014,110411
718,1303403,2018,113168
719,1303403,2022,116439
720,1303502,2002,17104
721,1303502,2006,17131
722,1303502,2010,18166
723,1303502,2014,19265
724,1303502,2018,19329
725,1303502,2022,19616
726,1303536,2002,19562
727,1303536,2006,24781
728,1303536,2010,27175
729,1303536,2014,31903
730,1303536,2018,35352
731,1303536,2022,38095
732,1303569,2002,19910
733,1303569,2006,25513
734,1303569,2010,25719
735,1303569,2014,29771
736,1303569,2018,32577
737,1303569,2022,34856
738,1303601,2002,9538
739,1303601,2006,7077
740,1303601,2010,18146
741,1303601,2014,21702
742,1303601,2018,24436
743,1303601,2022,26566
744,1303700,2002,30527
745,1303700,2006,36098
746,1303700,2010,24481
747,1303700,2014,24005
748,1303700,2018,21966
749,1303700,2022,20889
750,1303809,2002,31379
751,1303809,2006,34827
752,1303809,2010,37896
753,1303809,2014,42342
754,1303809,2018,44816
755,1303809,2022,47031
756,1303908,2002,25110
757,1303908,2006,29916
758,1303908,2010,31422
759,1303908,2014,35757
760,1303908,2018,38515
761,1303908,2022,40837
762,1303957,2002,7711
763,1303957,2006,9039
764,1303957,2010,10705
765,1303957,2014,12451
766,1303957,2018,13685
767,1303957,2022,14678
768,1304005,2002,8223
769,1304005,2006,9278
770,1304005,2010,8444
771,1304005,2014,9014
772,1304005,2018,9110
773,1304005,2022,9289
