,id_municipio,pib,va_agropecuaria,va_industria,va_servicos,va_adespss,ano
318,1701309,13940092,3791925,560894,2170258,7007733,2002
319,1701903,14298798,3562867,847305,3325562,5789173,2002
320,1702000,37189108,11847894,199373,11556112,911675,2002
321,1702109,653464448,15019863,98313041,324613334,117070889,2002
322,1702158,11990403,3029288,651395,2608055,5179829,2002
323,1702208,61993215,6958179,3003155,21228366,26172439,2002
324,1702307,26481782,6866513,1638574,7075667,8967142,2002
325,1702406,34443475,11181609,2128134,8717354,10616543,2002
326,1702554,30576681,2835975,2429401,1012233,12678379,2002
327,1702703,9293826,2018309,627969,1969392,3137603,2002
328,1702901,19738976,2202126,1019838,5906695,935437,2002
329,1703008,18000608,3258837,890579,3034149,10334584,2002
330,1703057,15497158,694675,2021108,2194465,3704014,2002
331,1703073,580312,1254622,238306,909663,3293154,2002
332,1703107,17118527,3043738,1175071,6203986,4660056,2002
333,1703206,16741193,6993967,794863,2920675,5184956,2002
334,1703305,7850073,3168064,531773,1385237,2583506,2002
335,1703602,6947644,1464111,667439,1486559,2895091,2002
336,1703701,16971155,5773248,1309092,3738285,5506478,2002
337,1703800,14285851,1508709,925573,3776138,7473776,2002
338,1703826,4494238,628031,241192,893079,2589776,2002
339,1703842,38547985,18491981,2607439,8533358,6087396,2002
340,1703867,14760327,3026184,942838,4943592,4596764,2002
341,1703883,6979949,2004981,551598,139871,265292,2002
342,1703891,5838809,793131,234767,1075728,3588933,2002
343,1703909,10780667,2431752,588819,308743,408432,2002
344,1704105,5164107,855191,298415,874911,2986255,2002
345,1704600,4008522,1443341,142914,604911,1707294,2002
346,1705102,8494666,1595014,651875,2280272,3672022,2002
347,1705508,124418397,6667033,14626758,57722941,28157803,2002
348,1705557,10985782,1623057,860566,3538033,4150834,2002
349,1705607,10371771,1816431,846299,2452329,4665402,2002
350,1706001,9214423,2403683,443879,1925657,4161141,2002
351,1706100,28139096,472562,2541065,10678838,7676569,2002
352,1706258,7147544,2655705,361462,1760219,175861,2002
353,1706506,10055072,1538796,440312,255239,4717576,2002
354,1707009,52785315,4780607,9265782,19184793,15021829,2002
355,1707108,18522722,4184024,1225734,526662,6695118,2002
356,1707207,18327169,7004557,862859,2975416,6792817,2002
357,1707306,24025583,12773505,1355659,3637637,5231312,2002
358,1707405,13710306,1381583,61064,2641944,8676971,2002
359,1707553,1483009,1235106,941165,6117155,4500629,2002
360,1707652,25709249,5503315,1610517,9544877,6300976,2002
361,1707702,17981528,3668829,1134282,3989329,8612054,2002
362,1708205,110455561,41983425,1009986,29129388,21738724,2002
363,1708254,16636641,1795616,1351731,7514261,3005155,2002
364,1708304,11700953,4248331,428335,2119536,4357945,2002
365,1709005,1823499,2672712,100484,3068309,10838933,2002
366,1709302,79277382,55091,8452398,35921471,21790076,2002
367,1709500,398585793,10343992,51474319,20275972,68620003,2002
368,1709807,4119087,1196065,237782,751219,1790093,2002
369,1710508,16442509,2675253,757385,4106379,8033566,2002
370,1710706,1379837,2476328,545305,2770907,7580787,2002
371,1710904,7244555,2007515,265952,1164329,3599529,2002
372,1711100,10119636,4804914,397142,1638089,287384,2002
373,1711506,10566213,3247777,686951,2106412,4018421,2002
374,1711803,6210238,1983086,276433,98087,2776638,2002
375,1711902,50090675,24319429,4849813,10365204,8093254,2002
376,1711951,5207276,714338,478555,910327,2927235,2002
377,1712009,13523843,316775,5395642,2605667,3591715,2002
378,1712157,982873,5281925,838497,1387072,2086989,2002
379,1712405,6835041,858708,366845,111556,4302929,2002
380,1712454,727247,2416006,317457,1482072,2525958,2002
381,1712504,12904048,458534,634203,2852145,4155736,2002
382,1712702,984715,5319752,726575,1596251,1999217,2002
383,1712801,5831833,75626,326177,1001269,3600798,2002
384,1713205,227430589,758251,150771723,34035437,25413288,2002
385,1713304,39016609,4292583,6397171,13544195,1130483,2002
386,1713601,16016127,6292459,1310375,2700245,5012808,2002
387,1713700,5668797,2223155,295514,648083,2366714,2002
388,1713809,10239495,2140612,760805,1826955,5192958,2002
389,1713957,9471368,3908899,418809,1446931,3396155,2002
390,1714203,26073045,2476742,2673945,9405735,8817678,2002
391,1714302,10407628,1405595,566949,2513854,5498333,2002
392,1714880,37035243,4726843,2338634,1468427,9687175,2002
393,1715002,9812257,1883369,70964,3033408,3420462,2002
394,1715101,7324036,712576,955186,1782604,3500553,2002
395,1715150,6194291,987714,409534,1661252,2809148,2002
396,1715259,6684273,1306077,900862,1366242,2709914,2002
397,1715507,3817707,905254,325133,656247,1675565,2002
398,1715705,10189134,2322583,2317813,1305253,4065223,2002
399,1715754,23336426,3891859,2669504,7953167,6946064,2002
400,1716109,187686373,4951014,20762149,96459693,37052628,2002
401,1716208,20717332,6786663,737658,3160294,9383335,2002
402,1716307,11200979,37095,437757,2143142,4472182,2002
403,1716505,59113566,23043047,5148568,18219971,9192027,2002
404,1716604,45085944,8376511,11556998,9124197,10839568,2002
405,1716653,12959097,4248056,625606,233803,5184579,2002
406,1716703,32659338,4146973,2596102,1176771,10785788,2002
407,1717008,13237666,5043328,773725,2298334,4740818,2002
408,1717206,10040384,4508403,421697,1185765,3636826,2002
409,1717503,25342075,13094836,1600335,4589117,5143217,2002
410,1717800,8809901,1549878,476406,1907788,4564375,2002
411,1717909,16554208,4388062,1018405,3273741,6969161,2002
412,1718006,5933034,630824,390881,1395514,3236153,2002
413,1718204,200201295,13175574,45688342,77733434,43417208,2002
414,1718303,11029587,646072,404937,193629,778212,2002
415,1718402,12359561,1897837,937894,3601009,5089245,2002
416,1718451,11744041,1466133,742602,5027242,2705524,2002
417,1718501,6557634,1162387,310152,1067343,3795179,2002
418,1718550,7830995,1914935,347493,1394688,3938629,2002
419,1718659,3987505,161687,854515,884825,1917045,2002
420,1718709,79297,882575,510062,2887703,2764026,2002
421,1718758,10185594,183766,32936,1860824,5815478,2002
422,1718808,5343706,568278,244736,1302408,3016716,2002
423,1718840,12626892,5434424,465002,229722,3909775,2002
424,1718865,18430506,7156316,974515,3371489,6285614,2002
425,1718881,5386616,1169763,284569,1041773,2744202,2002
426,1718899,11382157,5985255,57888,1950906,2356338,2002
427,1718907,11686107,3464501,630189,2291495,4888249,2002
428,1719004,6558771,1368718,544834,129871,3086514,2002
429,1720002,5164662,783292,289326,969266,2949386,2002
430,1720101,639202,1186619,298301,1146268,3571542,2002
431,1720150,3655422,932435,419096,53198,1674872,2002
432,1720200,12690821,1158849,555519,2351893,8339261,2002
433,1720259,7199343,1158581,324381,1640656,3415274,2002
434,1720309,7052741,480147,377342,1544087,4406731,2002
435,1720499,14001879,2775129,650181,3637754,5916242,2002
436,1720655,12393583,3249623,1023148,3021108,4542772,2002
437,1720804,1674987,1918499,590252,4171038,9135501,2002
438,1720853,6586931,2901387,340258,1091017,2054729,2002
439,1720903,40177019,6647229,5008909,12509208,13450314,2002
440,1720937,4543598,1072579,256361,87524,2187558,2002
441,1720978,11260214,4829816,491701,2127407,3332495,2002
442,1721000,1303584881,7077366,302837078,611038835,225190557,2002
443,1721109,11167521,940138,829985,3102329,5803722,2002
444,1721208,59738279,1751374,4550572,24251919,22863371,2002
445,1721257,598248,2243386,478322,1082449,2018981,2002
446,1721307,4438669,784358,383018,942836,2178774,2002
447,1722081,30184115,3454629,4693941,8936715,9786392,2002
448,1722107,35746042,5203425,2898176,11549467,12658952,2002
449,2100055,676328542,36828923,175415787,302859084,59312503,2002
450,2100105,6115342,1032336,25692,120455,3495912,2002
451,2100154,10862459,2165514,480386,278015,5256424,2002
452,2100204,24160582,4292698,1277795,5211274,12734022,2002
453,2100303,23414555,4200115,1439582,5227202,1189927,2002
454,2100402,10577125,391067,423464,2268182,3763066,2002
455,2100436,30338466,5718542,3871666,8026246,11637403,2002
456,2100477,4623697,19710744,236152,6769472,16794308,2002
457,2100501,25309204,10049641,1322489,6700877,6361707,2002
458,2100550,8860285,2864739,468703,1336207,3963465,2002
459,2100600,48789449,17831293,214225,9566793,18149375,2002
460,2100709,2789671,976234,895431,5221762,1152549,2002
461,2100808,17065515,4240689,819985,4192376,7346259,2002
462,2100832,12407284,2860763,509804,2078804,6717704,2002
463,2100873,1663244,8161649,662174,1980634,5624343,2002
464,2100907,4841995,13176265,1978723,11455497,205503,2002
465,2100956,45028833,1950664,2041511,8557408,14078456,2002
466,2101004,38217558,9760627,2147079,10988668,142273,2002
467,2101103,12404951,2429699,470316,2984183,6245827,2002
468,2101202,241230172,18343388,32312731,119455847,52239493,2002
469,2101251,50204142,3203908,28593943,7057626,5843093,2002
470,2101301,14884054,1596476,818124,3249572,8877414,2002
471,2101350,6779316,153098,429937,1251077,34115,2002
472,2101400,475358796,96255828,3491334,248205995,37434975,2002
473,2101509,27451154,3191236,172043,11782531,8605664,2002
474,2101608,130722192,24224021,7338573,4597808,47782771,2002
475,2101707,63011909,12911673,8020861,15632145,24282758,2002
476,2101731,6979512,2027053,300683,1033852,352401,2002
477,2101772,11234917,3423403,591747,18356,5224394,2002
478,2101806,9648622,2864597,879707,1858117,3874865,2002
479,2101905,18221276,3993812,644141,471164,8379053,2002
480,2101939,9904624,4065085,323397,1681015,364053,2002
481,2101970,9241521,2734111,373366,1957346,3992885,2002
482,2102002,48320424,17387636,2059309,11925513,15183352,2002
483,2102036,31339309,975597,2179996,6591775,11226029,2002
484,2102077,17426905,7309345,856963,2324499,6694252,2002
485,2102101,55487667,18686487,3173176,1538731,16721059,2002
486,2102150,13891895,5612916,615869,2280456,5164701,2002
487,2102200,34586575,10969302,1594067,6629983,14674505,2002
